time,lat,lon,altitude,groundspeed,gamma,sigma,airspeed,lift,thrust,command_vel,command_gamma,command_sigma,command_airspeed,command_lift,command_thrust
173.15000000000512,36.178510329620856,-112.28337144351241,8953.680886334563,163.7376826864788,0.0710807394969613,3.298663225234746,163.7376826864788,79.78690670257828,19.253689984748004,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78768188341611,19.25264243820813
173.20000000000513,36.17848822998606,-112.28337577962779,8954.26231503512,163.73766111551765,0.0710793809156836,3.2986632592047433,163.73766111551765,79.78692630516339,19.25357993145603,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78770064811339,19.252533508220726
173.25000000000514,36.17846613035277,-112.2833801157426,8954.843732576599,163.73763956772044,0.07107802379140132,3.298663293047396,163.73763956772044,79.78694588656039,19.25346999617621,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78771939253623,19.25242469503962
173.30000000000516,36.178444030720975,-112.28338445185685,8955.42513897097,163.73761804306218,0.07107666812255009,3.2986633267631813,163.73761804306216,79.7869654467924,19.253360178781858,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78773811670675,19.252315998539437
173.35000000000517,36.178421931090696,-112.28338878797051,8956.00653423019,163.737596541518,0.07107531390756718,3.298663360352575,163.73759654151803,79.78698498588248,19.253250479146427,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78775682064705,19.252207418594946
173.40000000000518,36.17839983146192,-112.28339312408362,8956.587918366202,163.73757506306302,0.07107396114489153,3.2986633938160503,163.73757506306302,79.78700450385371,19.25314089714351,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78777550437913,19.25209895508101
173.4500000000052,36.17837773183464,-112.28339746019613,8957.169291390936,163.73755360767237,0.07107260983296382,3.29866342715408,163.73755360767237,79.78702400072909,19.253031432646832,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78779416792499,19.251990607872646
173.5000000000052,36.17835563220885,-112.28340179630804,8957.75065331631,163.73753217532123,0.07107125997022636,3.2986634603671336,163.73753217532123,79.78704347653165,19.25292208553025,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78781281130667,19.251882376845018
173.5500000000052,36.17833353258457,-112.28340613241939,8958.332004154232,163.7375107659848,0.07106991155512314,3.2986634934556798,163.7375107659848,79.78706293128434,19.252812855667766,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78783143454612,19.251774261873397
173.60000000000522,36.17831143296178,-112.28341046853014,8958.913343916593,163.7374893796383,0.07106856458609986,3.2986635264201856,163.7374893796383,79.78708236501012,19.25270374293351,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7878500376653,19.25166626283321
173.65000000000524,36.17828933334049,-112.28341480464027,8959.49467261527,163.73746801625697,0.07106721906160385,3.2986635592611155,163.73746801625697,79.78710177773193,19.252594747201748,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7878686206861,19.251558379600027
173.70000000000525,36.17826723372069,-112.28341914074981,8960.075990262134,163.7374466758161,0.07106587498008413,3.298663591978933,163.7374466758161,79.78712116947266,19.252485868346888,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78788718363043,19.25145061204953
173.75000000000526,36.17824513410238,-112.28342347685877,8960.657296869036,163.737425358291,0.0710645323399914,3.298663624574099,163.737425358291,79.78714054025518,19.252377106243465,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78790572652018,19.251342960057542
173.80000000000527,36.178223034485576,-112.2834278129671,8961.23859244782,163.737404063657,0.07106319113977799,3.298663657047074,163.737404063657,79.78715989010234,19.252268460766153,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78792424937718,19.251235423500006
173.85000000000528,36.178200934870254,-112.28343214907484,8961.819877010314,163.73738279188947,0.07106185137789794,3.2986636893983157,163.73738279188947,79.78717921903699,19.25215993178976,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78794275222324,19.251128002253022
173.9000000000053,36.178178835256425,-112.28343648518198,8962.401150568332,163.73736154296378,0.07106051305280695,3.2986637216282806,163.7373615429638,79.78719852708188,19.252051519189227,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.7879612350802,19.25102069619281
173.9500000000053,36.17815673564408,-112.28344082128848,8962.982413133679,163.73734031685532,0.07105917616296234,3.298663753737423,163.7373403168553,79.78721781425983,19.251943222839632,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78797969796979,19.250913505195726
174.00000000000531,36.17813463603323,-112.28344515739438,8963.563664718145,163.73731911353957,0.07105784070682312,3.298663785726196,163.73731911353957,79.78723708059357,19.25183504261619,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78799814091381,19.250806429138283
174.05000000000533,36.17811253642386,-112.28344949349965,8964.144905333509,163.73729793299196,0.07105650668284998,3.2986638175950507,163.737297932992,79.78725632610582,19.25172697839424,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78801656393392,19.250699467897068
174.10000000000534,36.17809043681597,-112.2834538296043,8964.726134991535,163.737276775188,0.07105517408950521,3.2986638493444365,163.73727677518798,79.78727555081927,19.251619030049273,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78803496705187,19.25059262134886
174.15000000000535,36.17806833720958,-112.28345816570832,8965.307353703978,163.73725564010323,0.0710538429252528,3.2986638809748015,163.7372556401032,79.78729475475662,19.251511197456892,163.71757,0.06981317007977318,3.2986722862692828,163.71757000000002,79.78805335028935,19.250485889370538
